rh.aparc.thickness	rh_bankssts_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_frontalpole_thickness	rh_temporalpole_thickness	rh_transversetemporal_thickness	rh_insula_thickness	rh_MeanThickness_thickness	BrainSegVolNotVent	eTIV
sub-c100	2.398	2.267	2.592	1.984	3.309	2.741	2.473	2.907	2.063	2.329	2.746	1.999	2.446	2.984	2.399	2.377	2.662	2.665	2.47	1.816	2.109	2.348	2.452	2.273	2.854	2.383	2.747	2.119	2.899	2.537	2.743	4.049	2.667	2.836	2.49278	1168100.0	1735754.849002
sub-c101	2.64	2.31	2.68	1.941	3.418	2.759	2.483	2.756	2.166	2.264	2.638	2.217	2.447	2.762	2.724	2.611	2.626	2.754	2.482	1.799	2.239	2.233	2.647	2.437	2.616	2.477	2.722	2.212	2.639	2.624	2.796	3.721	2.54	2.925	2.51928	1081763.0	1434309.039666
sub-c102	2.477	2.259	2.655	1.852	3.282	2.775	2.425	2.723	2.561	2.092	2.546	2.128	2.398	2.895	2.416	2.377	2.538	2.442	2.482	1.618	2.109	2.495	2.48	2.338	2.584	2.549	2.646	2.066	2.618	2.678	2.713	2.919	2.157	2.816	2.42818	1111348.0	1687723.503308
sub-c103	2.57	2.4	2.607	1.947	3.691	2.75	2.488	2.727	2.105	2.121	2.598	2.105	2.45	2.849	2.648	2.423	2.368	2.674	2.425	1.679	2.163	2.213	2.59	2.425	2.775	2.397	2.635	2.276	2.738	2.552	2.927	3.417	2.35	2.88	2.47422	1216941.0	1672770.708544
sub-c104	2.417	2.293	2.549	1.969	3.279	2.566	2.416	2.831	2.176	2.187	2.724	1.938	2.717	2.943	2.759	2.371	2.63	2.647	2.471	1.796	2.114	2.412	2.55	2.392	3.064	2.564	2.774	2.15	2.791	2.465	2.818	3.401	2.221	3.055	2.48937	1101003.0	1578255.285546
sub-c105	2.467	1.925	2.506	1.885	3.508	2.8	2.359	2.844	1.901	2.341	2.761	2.001	2.442	2.852	2.531	2.542	2.64	2.761	2.516	1.667	2.066	2.235	2.581	2.356	2.907	2.481	2.643	2.315	2.809	2.418	2.837	3.793	2.464	2.877	2.48171	1115437.0	1674396.367868
sub-c106	2.657	2.23	2.641	2.023	3.278	2.871	2.527	2.971	2.274	2.333	2.679	1.992	2.355	2.861	3.052	2.441	2.693	2.852	2.34	1.569	2.177	2.259	2.515	2.468	2.531	2.341	2.726	2.309	2.792	2.613	2.786	3.916	2.446	2.856	2.50493	1124168.0	1499504.833318
sub-c107	2.452	2.19	2.498	1.902	3.614	2.781	2.491	2.752	2.373	2.295	2.725	2.024	2.434	2.965	2.425	2.365	2.639	2.723	2.617	1.669	2.071	2.444	2.48	2.373	2.603	2.437	2.598	2.29	2.755	2.439	2.853	3.853	2.409	2.921	2.47932	984332.0	1394880.799463
sub-c108	2.593	2.643	2.631	2.022	3.399	2.751	2.549	2.75	2.34	2.369	2.855	2.07	2.698	2.857	2.846	2.535	2.677	2.914	2.549	1.772	1.998	2.346	2.456	2.363	2.953	2.556	2.655	2.159	2.686	2.592	3.474	3.092	2.375	2.837	2.50575	1032715.0	1590798.036834
sub-c109	2.686	2.18	2.569	1.872	3.599	2.738	2.542	2.907	2.388	2.43	2.711	1.983	2.37	3.032	2.788	2.51	2.839	2.719	2.591	1.729	2.279	2.427	2.738	2.52	2.72	2.466	2.681	2.395	2.941	2.639	2.857	3.833	2.569	3.03	2.57639	1371800.0	1876438.104591
